D,T,O,H,L,C,V
20190503,17:35:00,166.5200000,166.6700000,166.4700000,166.4800000,245070
20190503,17:40:00,166.5500000,166.6600000,166.3800000,166.6600000,91160
20190503,17:45:00,166.5800000,166.7600000,166.5800000,166.6900000,204620
20190503,17:50:00,166.7000000,166.7400000,166.6000000,166.6800000,45610
20190503,17:55:00,166.6700000,166.6800000,166.4100000,166.6000000,135160
20190503,18:00:00,166.5600000,166.6500000,166.5200000,166.6000000,34100
20190503,18:05:00,166.5900000,166.6900000,166.4100000,166.5400000,220780
20190503,18:10:00,166.5300000,166.5500000,166.2900000,166.3400000,122740
20190503,18:15:00,166.3300000,166.5000000,166.3300000,166.4900000,126110
20190503,18:20:00,166.4900000,166.6300000,166.4300000,166.5500000,70290
20190503,18:25:00,166.5500000,166.5800000,166.3900000,166.5000000,49420
20190503,18:30:00,166.5000000,166.7000000,166.4700000,166.5500000,253980
20190503,18:35:00,166.6000000,166.6000000,166.4000000,166.4000000,87910
20190503,18:40:00,166.3800000,166.6700000,166.3200000,166.6500000,200450
20190503,18:50:00,166.3100000,166.3100000,166.3100000,166.3100000,624260
20190506,10:05:00,164.9800000,164.9800000,163.6100000,164.0100000,1202800
20190506,10:10:00,164.0700000,164.1700000,164.0100000,164.1600000,400830
20190506,10:15:00,164.1600000,164.4700000,164.0500000,164.3800000,506490
20190506,10:20:00,164.3400000,164.7900000,164.2500000,164.7300000,584540
20190506,10:25:00,164.7300000,165.0800000,164.6400000,164.7400000,683970
20190506,10:30:00,164.8000000,164.8900000,164.5500000,164.5500000,129030
20190506,10:35:00,164.5800000,164.7000000,164.5500000,164.6800000,34790
20190506,10:40:00,164.7000000,164.7400000,164.6800000,164.7400000,157210
20190506,10:45:00,164.7400000,164.7700000,164.4600000,164.5800000,185220
20190506,10:50:00,164.5900000,164.7000000,164.5100000,164.5900000,176010
20190506,10:55:00,164.5900000,164.7700000,164.5900000,164.7000000,93370
20190506,11:00:00,164.7300000,164.7700000,164.6000000,164.6100000,99460
20190506,11:05:00,164.6100000,164.6500000,164.1500000,164.3100000,339180
20190506,11:10:00,164.3000000,164.4800000,164.2800000,164.4000000,91490
20190506,11:15:00,164.4000000,164.4900000,164.3400000,164.3400000,69100
20190506,11:20:00,164.3400000,164.4900000,164.2500000,164.3900000,59590
20190506,11:25:00,164.4100000,164.4200000,164.0100000,164.1000000,347680
20190506,11:30:00,164.1000000,164.1000000,163.9100000,164.0400000,282840
20190506,11:35:00,164.0400000,164.0400000,163.9100000,164.0000000,112200
20190506,11:40:00,164.0000000,164.0400000,163.9100000,164.0200000,81120
20190506,11:45:00,163.9800000,164.0100000,163.9300000,163.9500000,88870
20190506,11:50:00,163.9500000,163.9700000,163.6500000,163.7400000,640910
20190506,11:55:00,163.7300000,163.7800000,163.5400000,163.5400000,321770
20190506,12:00:00,163.5500000,163.6400000,163.4300000,163.5900000,551190
20190506,12:05:00,163.5400000,163.6000000,163.3400000,163.5900000,293150
20190506,12:10:00,163.5900000,163.8300000,163.5900000,163.7100000,191890
20190506,12:15:00,163.7600000,163.7900000,163.6500000,163.6600000,99570
20190506,12:20:00,163.6700000,163.7000000,163.5800000,163.6500000,113660
20190506,12:25:00,163.6500000,163.8000000,163.6500000,163.8000000,79560
20190506,12:30:00,163.8000000,163.8000000,163.6300000,163.6700000,113030
20190506,12:35:00,163.6700000,163.6900000,163.6300000,163.6900000,89250
20190506,12:40:00,163.6900000,163.6900000,163.6200000,163.6500000,72210
20190506,12:45:00,163.6500000,163.7000000,163.6500000,163.6800000,31570
20190506,12:50:00,163.6800000,163.8000000,163.6300000,163.7700000,82350
20190506,12:55:00,163.7500000,164.0000000,163.7400000,163.9800000,236060
20190506,13:00:00,163.9800000,164.2700000,163.9800000,164.2000000,248130
20190506,13:05:00,164.2000000,164.3200000,164.1500000,164.1600000,40350
20190506,13:10:00,164.1600000,164.2100000,164.1600000,164.1900000,16070
20190506,13:15:00,164.1900000,164.3800000,164.1800000,164.3800000,50200
20190506,13:20:00,164.3500000,164.4000000,164.1500000,164.1800000,75170
20190506,13:25:00,164.1600000,164.1800000,164.0000000,164.0500000,52410
20190506,13:30:00,164.0200000,164.0800000,163.9900000,164.0800000,32320
20190506,13:35:00,164.0900000,164.1600000,164.0100000,164.0100000,39730
20190506,13:40:00,164.0300000,164.0800000,163.9400000,164.0700000,40780
20190506,13:45:00,164.0400000,164.1200000,163.9200000,163.9200000,138530
20190506,13:50:00,163.9400000,163.9600000,163.8500000,163.8600000,62750
20190506,13:55:00,163.8900000,164.2500000,163.8800000,164.2300000,99200
20190506,14:00:00,164.2600000,164.3500000,164.1600000,164.1600000,103590
20190506,14:05:00,164.1600000,164.3100000,164.0400000,164.0600000,123170
20190506,14:10:00,164.0600000,164.1700000,164.0500000,164.1500000,48310
20190506,14:15:00,164.1400000,164.1400000,164.1100000,164.1100000,4260
20190506,14:20:00,164.1100000,164.1900000,164.1100000,164.1700000,22340
20190506,14:25:00,164.1700000,164.2500000,164.1700000,164.2400000,44730
20190506,14:30:00,164.2100000,164.2400000,164.2100000,164.2400000,4530
20190506,14:35:00,164.2400000,164.2500000,164.2000000,164.2200000,30230
20190506,14:40:00,164.2200000,164.3400000,164.2200000,164.3100000,25840
20190506,14:45:00,164.3300000,164.3600000,164.2100000,164.2200000,57070
20190506,14:50:00,164.2300000,164.3000000,164.2200000,164.2300000,13680
20190506,14:55:00,164.2700000,164.3300000,164.2200000,164.2600000,28720
20190506,15:00:00,164.2600000,164.2900000,164.2600000,164.2900000,7520
20190506,15:05:00,164.2900000,164.3300000,164.2800000,164.2900000,24490
20190506,15:10:00,164.3000000,164.3000000,164.0000000,164.0300000,99500
20190506,15:15:00,164.0300000,164.1400000,164.0200000,164.1400000,15430
20190506,15:20:00,164.1000000,164.2300000,164.0600000,164.1900000,45310
20190506,15:25:00,164.1500000,164.3000000,164.1500000,164.3000000,22200
20190506,15:30:00,164.3000000,164.3200000,164.2000000,164.2600000,48360
20190506,15:35:00,164.2400000,164.2500000,164.2000000,164.2000000,51680
20190506,15:40:00,164.2000000,164.2200000,164.0300000,164.0300000,103210
20190506,15:45:00,164.0600000,164.0800000,163.9100000,163.9900000,189470
20190506,15:50:00,163.9900000,164.0900000,163.8000000,163.9800000,251360
20190506,15:55:00,163.9800000,164.2300000,163.8700000,164.2000000,282310
20190506,16:00:00,164.2000000,164.2000000,163.9600000,164.0400000,137580
20190506,16:05:00,163.9900000,164.1300000,163.9400000,164.0800000,41160
20190506,16:10:00,164.0800000,164.0800000,163.8800000,163.9700000,46190
20190506,16:15:00,163.9600000,164.0300000,163.9600000,164.0100000,8740
20190506,16:20:00,164.0100000,164.0900000,164.0100000,164.0800000,37250
20190506,16:25:00,164.0800000,164.2500000,164.0600000,164.2000000,152690
20190506,16:30:00,164.2100000,164.2400000,164.2000000,164.2300000,88460
20190506,16:35:00,164.2100000,164.3400000,164.1100000,164.3000000,119730
20190506,16:40:00,164.3000000,164.3400000,164.2400000,164.3400000,58130
20190506,16:45:00,164.3300000,164.5500000,164.2600000,164.5300000,251940
20190506,16:50:00,164.5200000,164.5500000,164.3500000,164.3700000,93080
20190506,16:55:00,164.3500000,164.5300000,164.1400000,164.4900000,100480
20190506,17:00:00,164.4900000,164.6000000,164.4400000,164.5700000,123830
20190506,17:05:00,164.6000000,164.6300000,164.5400000,164.5800000,102260
20190506,17:10:00,164.5800000,164.6500000,164.5400000,164.6400000,58690
20190506,17:15:00,164.6400000,164.8300000,164.6100000,164.6600000,188890
20190506,17:20:00,164.6600000,164.6800000,164.6000000,164.6100000,35370
20190506,17:25:00,164.6100000,164.6200000,164.5000000,164.5200000,57620
20190506,17:30:00,164.5500000,164.5500000,164.4700000,164.4700000,24870
20190506,17:35:00,164.4800000,164.5600000,164.4700000,164.5200000,53330
20190506,17:40:00,164.4800000,164.6200000,164.4500000,164.6200000,63570
20190506,17:45:00,164.6300000,164.9200000,164.6300000,164.7400000,155750
20190506,17:50:00,164.7400000,164.7800000,164.7000000,164.7700000,82720
20190506,17:55:00,164.7800000,164.8400000,164.7700000,164.7700000,128780
20190506,18:00:00,164.7500000,164.7600000,164.7200000,164.7600000,33670
20190506,18:05:00,164.7600000,164.7600000,164.5500000,164.7100000,201190
20190506,18:10:00,164.7000000,164.7100000,164.5000000,164.5800000,92110
20190506,18:15:00,164.5800000,164.7000000,164.5500000,164.7000000,41880
20190506,18:20:00,164.7100000,164.7900000,164.7100000,164.7600000,86900
20190506,18:25:00,164.7500000,164.8700000,164.7200000,164.7800000,156500
20190506,18:30:00,164.7900000,164.7900000,164.7500000,164.7500000,54680
20190506,18:35:00,164.7500000,164.9200000,164.7500000,164.8700000,155700
20190506,18:40:00,164.8400000,164.9200000,164.8000000,164.9000000,120420
20190506,18:50:00,165.4500000,165.4500000,165.4500000,165.4500000,1074350
20190507,10:05:00,165.0100000,165.6000000,164.8900000,165.2200000,882050
20190507,10:10:00,165.2200000,165.5900000,165.1500000,165.4500000,533220
20190507,10:15:00,165.4700000,165.9400000,165.3700000,165.8200000,451600
20190507,10:20:00,165.8000000,165.9900000,165.5600000,165.8900000,339900
20190507,10:25:00,165.8800000,165.9900000,165.8000000,165.9900000,150900
20190507,10:30:00,165.9800000,165.9900000,165.6000000,165.7300000,268550
20190507,10:35:00,165.7500000,166.0000000,165.7500000,165.8500000,233230
20190507,10:40:00,165.8500000,166.0000000,165.7200000,165.7200000,128170
20190507,10:45:00,165.7700000,166.1700000,165.7700000,166.1200000,305370
20190507,10:50:00,166.0800000,166.1700000,165.8800000,165.9700000,299050
20190507,10:55:00,165.9800000,166.1400000,165.9100000,166.0600000,175220
20190507,11:00:00,166.0400000,166.1700000,166.0000000,166.1300000,209890
20190507,11:05:00,166.1400000,166.1700000,166.0400000,166.1100000,246870
20190507,11:10:00,166.1100000,166.2500000,166.0200000,166.0400000,192160
20190507,11:15:00,166.0200000,166.2000000,165.8700000,166.0700000,185090
20190507,11:20:00,166.0500000,166.2400000,165.9600000,166.1800000,239600
20190507,11:25:00,166.1800000,166.2700000,166.1700000,166.1700000,270310
20190507,11:30:00,166.1700000,166.2700000,166.1600000,166.2300000,102480
20190507,11:35:00,166.2000000,166.2400000,166.1000000,166.1000000,82340
20190507,11:40:00,166.1500000,166.1500000,165.9400000,165.9600000,233120
20190507,11:45:00,165.9300000,165.9500000,165.6800000,165.7700000,259740
20190507,11:50:00,165.7800000,165.9200000,165.7000000,165.7800000,179570
20190507,11:55:00,165.7600000,165.9200000,165.7400000,165.8700000,102940
20190507,12:00:00,165.9100000,166.0200000,165.8300000,166.0000000,101820
20190507,12:05:00,165.9700000,166.0000000,165.9000000,165.9400000,33260
20190507,12:10:00,165.9400000,165.9700000,165.7400000,165.7800000,109150
20190507,12:15:00,165.8300000,165.9300000,165.7800000,165.8200000,186540
20190507,12:20:00,165.8000000,165.9100000,165.7300000,165.7700000,122840
20190507,12:25:00,165.7700000,165.8800000,165.7300000,165.7400000,174000
20190507,12:30:00,165.7300000,165.7300000,165.3200000,165.5500000,475540
20190507,12:35:00,165.5200000,165.6700000,165.3800000,165.6200000,184310
20190507,12:40:00,165.6200000,165.7900000,165.5800000,165.7900000,76090
20190507,12:45:00,165.7300000,165.7800000,165.6700000,165.7100000,31860
20190507,12:50:00,165.7200000,165.7500000,165.6300000,165.6500000,56250
20190507,12:55:00,165.6700000,165.7000000,165.5800000,165.6200000,45160
20190507,13:00:00,165.6300000,165.6500000,165.5800000,165.5800000,24370
20190507,13:05:00,165.6000000,165.7200000,165.5800000,165.6000000,59400
20190507,13:10:00,165.5800000,165.6200000,165.4200000,165.4800000,98640
20190507,13:15:00,165.4800000,165.6800000,165.4500000,165.6600000,51380
20190507,13:20:00,165.6600000,165.6600000,165.5500000,165.6000000,47190
20190507,13:25:00,165.5600000,165.5600000,165.3800000,165.3900000,62140
20190507,13:30:00,165.3900000,165.5100000,165.3600000,165.5100000,54960
20190507,13:35:00,165.4900000,165.6400000,165.4500000,165.6400000,31380
20190507,13:40:00,165.6300000,165.6300000,165.5100000,165.5100000,18370
20190507,13:45:00,165.5500000,165.5700000,165.4500000,165.4700000,37850
20190507,13:50:00,165.4700000,165.5400000,165.4200000,165.4600000,40010
20190507,13:55:00,165.4600000,165.4600000,165.2000000,165.2600000,87760
20190507,14:00:00,165.2600000,165.2700000,165.2000000,165.2600000,58420
20190507,14:05:00,165.2500000,165.3900000,165.2500000,165.2900000,32270
20190507,14:10:00,165.2900000,165.3500000,165.2000000,165.2300000,99120
20190507,14:15:00,165.2300000,165.3900000,165.2000000,165.3900000,82440
20190507,14:20:00,165.3800000,165.6400000,165.3500000,165.5900000,140330
20190507,14:25:00,165.6300000,165.7500000,165.5300000,165.6700000,98920
20190507,14:30:00,165.6800000,165.9400000,165.6700000,165.9100000,111500
20190507,14:35:00,165.8800000,165.9600000,165.7900000,165.8800000,120900
20190507,14:40:00,165.8200000,165.9700000,165.7300000,165.8400000,180890
20190507,14:45:00,165.8200000,165.9000000,165.8000000,165.8100000,42830
20190507,14:50:00,165.8100000,165.8500000,165.6800000,165.7700000,142000
20190507,14:55:00,165.7400000,165.7700000,165.4500000,165.4900000,387730
20190507,15:00:00,165.4800000,165.5000000,165.3300000,165.4200000,148440
20190507,15:05:00,165.4600000,165.4600000,165.1700000,165.2000000,188740
